task_id,text,code,AI_code
32,Write a python function to find the largest prime factor of a given number.,"import math 
def max_Prime_Factors (n): 
    maxPrime = -1 
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3,int(math.sqrt(n))+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)","```python
def largest_prime_factor(n):
    i = 2
    while i * i <= n:
        if n % i:
            i += 1
        else:
            n //= i
    return n
```"
33,Write a python function to convert a decimal number to binary number.,"def decimal_To_Binary(N): 
    B_Number = 0
    cnt = 0
    while (N != 0): 
        rem = N % 2
        c = pow(10,cnt)  
        B_Number += rem*c  
        N //= 2 
        cnt += 1
    return B_Number  ","```python
def decimal_to_binary(n):
    if n == 0:
        return '0'
    binary = ''
    while n > 0:
        binary = str(n % 2) + binary
        n = n // 2
    return binary
```"
34,Write a python function to find the missing number in a sorted array.,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ","```python
def find_missing_number(nums):
    left, right = 0, len(nums) - 1
    while left <= right:
        mid = (left + right) // 2
        if nums[mid] == mid + nums[0]:
            left = mid + 1
        else:
            right = mid - 1
    return left + nums[0]
```"
35,Write a function to find the n-th rectangular number.,"def find_rect_num(n):
  return n*(n + 1) ","```python
def nth_rectangular_number(n):
    def is_rectangular(num):
        i = 1
        while True:
            if num == (i * (i + 1)) // 2 or num == ((8 * num) + 1)**0.5 - 1:
                return True
            elif num < (i * (i + 1)) // 2 and num > ((8 * num) + 1)**0.5 - 1:
                return False
            i += 1

    rectangular_count = 0
    num = 1
    while True:
        if is_rectangular(num):
            rectangular_count += 1
            if rectangular_count == n:
                return num
        num += 1
```"
36,Write a python function to find the nth digit in the proper fraction of two given numbers.,"def find_Nth_Digit(p,q,N) :  
    while (N > 0) : 
        N -= 1;  
        p *= 10;  
        res = p // q;  
        p %= q;  
    return res;  ","```python
def find_nth_digit(numerator, denominator, n):
    decimal = """"
    remainders = {}
    
    while len(decimal) < n:
        numerator *= 10
        remainder = numerator % denominator
        
        if remainder == 0:
            return int(str(numerator // denominator)[n - 1])
        
        if remainder in remainders:
            start = remainders[remainder]
            return int(decimal[start + n % (len(decimal) - start)]))
        
        remainders[remainder] = len(decimal)
        decimal += str(numerator // denominator)
        numerator = remainder
    
    return int(decimal[n - 1])
```"
37,Write a function to sort a given mixed list of integers and strings.,"def sort_mixed_list(mixed_list):
    int_part = sorted([i for i in mixed_list if type(i) is int])
    str_part = sorted([i for i in mixed_list if type(i) is str])
    return int_part + str_part","```python
def sort_mixed_list(mixed_list):
    ints = sorted([i for i in mixed_list if isinstance(i, int)], reverse=True)
    strs = sorted([s for s in mixed_list if isinstance(s, str)])
    return ints + strs
```"
38,Write a function to find the division of first even and odd number of a given list.,"def div_even_odd(list1):
    first_even = next((el for el in list1 if el%2==0),-1)
    first_odd = next((el for el in list1 if el%2!=0),-1)
    return (first_even/first_odd)","```python
def divide_first_even_odd(numbers):
    even_numbers = [num for num in numbers if num % 2 == 0]
    odd_numbers = [num for num in numbers if num % 2 != 0]

    if not even_numbers or not odd_numbers:
        return None

    first_even, first_odd = even_numbers[0], odd_numbers[0]

    if first_even == 0 or first_odd == 0:
        return None

    return first_even / first_odd
```"
39,Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"import heapq
from collections import Counter
def rearange_string(S):
    ctr = Counter(S)
    heap = [(-value, key) for key, value in ctr.items()]
    heapq.heapify(heap)
    if (-heap[0][0]) * 2 > len(S) + 1: 
        return """"
    ans = []
    while len(heap) >= 2:
        nct1, char1 = heapq.heappop(heap)
        nct2, char2 = heapq.heappop(heap)
        ans.extend([char1, char2])
        if nct1 + 1: heapq.heappush(heap, (nct1 + 1, char1))
        if nct2 + 1: heapq.heappush(heap, (nct2 + 1, char2))
    return """".join(ans) + (heap[0][1] if heap else """")","```python
def can_rearrange(s):
    char_count = {}
    for char in s:
        if char in char_count:
            char_count[char] += 1
        else:
            char_count[char] = 1

    max_count = max(char_count.values())
    return len(s) - max_count >= max_count - 1
```"
40,Write a function to find frequency of the elements in a given list of lists using collections module.,"from collections import Counter
from itertools import chain
def freq_element(nums):
  result = Counter(chain.from_iterable(nums))
  return result","```python
from collections import Counter

def frequency_of_elements(lists):
    flat_list = [item for sublist in lists for item in sublist]
    freq_dict = dict(Counter(flat_list))
    return freq_dict
```
Let me know if you need any further modifications."
41,Write a function to filter even numbers using lambda function.,"def filter_evennumbers(nums):
 even_nums = list(filter(lambda x: x%2 == 0, nums))
 return even_nums","```python
def filter_even_numbers(numbers):
    return list(filter(lambda x: x % 2 == 0, numbers))
```"
42,Write a python function to find the sum of repeated elements in a given array.,"def find_Sum(arr,n): 
    return sum([x for x in arr if arr.count(x) > 1])","```python
def sum_of_repeated_elements(arr):
    freq_dict = {}
    for num in arr:
        if num in freq_dict:
            freq_dict[num] += 1
        else:
            freq_dict[num] = 1
    return sum(num * freq for num, freq in freq_dict.items() if freq > 1)
```"
43,Write a function to find sequences of lowercase letters joined with an underscore using regex.,"import re
def text_match(text):
  patterns = '^[a-z]+_[a-z]+$'
  if re.search(patterns,  text):
    return ('Found a match!')
  else:
    return ('Not matched!')","```python
import re

def find_lowercase_sequences(text):
    pattern = r'[a-z_]+'
    sequences = re.findall(pattern, text)
    filtered_sequences = [seq for seq in sequences if '_' in seq]
    return filtered_sequences
```"
44,Write a function that matches a word at the beginning of a string.,"import re
def text_match_string(text):
        patterns = '^\w+'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'","```python
import re

def match_word_at_beginning(word, string):
    pattern = r'^' + re.escape(word)
    return bool(re.search(pattern, string))
```"
45,Write a function to find the gcd of the given array elements.,"def find_gcd(x, y): 
	while(y): 
		x, y = y, x % y 
	return x 
def get_gcd(l):
  num1 = l[0]
  num2 = l[1]
  gcd = find_gcd(num1, num2)
  for i in range(2, len(l)):
    gcd = find_gcd(gcd, l[i])
  return gcd","```python
import math

def find_gcd(arr):
    def gcd(a, b):
        while b != 0:
            a, b = b, a % b
        return abs(a)

    result = arr[0]
    for num in arr[1:]:
        result = gcd(result, num)
    return result
```"
46,Write a python function to determine whether all the numbers are different from each other are not.,"def test_distinct(data):
  if len(data) == len(set(data)):
    return True
  else:
    return False;","```python
def all_numbers_different(*args):
    return len(args) == len(set(args))
```

Alternatively:

```python
def all_numbers_different(numbers):
    return len(numbers) == len(set(numbers))
```"
47,Write a python function to find the last digit when factorial of a divides factorial of b.,"def compute_Last_Digit(A,B): 
    variable = 1
    if (A == B): 
        return 1
    elif ((B - A) >= 5):  
        return 0
    else:   
        for i in range(A + 1,B + 1): 
            variable = (variable * (i % 10)) % 10
        return variable % 10","```python
def last_digit_factorial_division(a, b):
    def factorial(n):
        if n == 0:
            return 1
        else:
            return n * factorial(n-1)

    def last_digit(n):
        return n % 10

    a_fact = factorial(a)
    b_fact = factorial(b)

    division_result = b_fact // a_fact

    return last_digit(division_result)
```"
48,Write a python function to set all odd bits of a given number.,"def odd_bit_set_number(n):
    count = 0;res = 0;temp = n
    while temp > 0:
        if count % 2 == 0:
            res |= (1 << count)
        count += 1
        temp >>= 1
    return (n | res)","```python
def set_odd_bits(n):
    mask = 0xAAAAAAAA
    return n | mask
```

Alternatively, you can also use a loop to set odd bits:

```python
def set_odd_bits(n):
    result = n
    i = 1
    while i <= n:
        result |= i
        i <<= 2
    return result
```"
49,Write a function to extract every first or specified element from a given two-dimensional list.,"def specified_element(nums, N):
    result = [i[N] for i in nums]
    return result
    ","```python
def extract_elements(matrix, index=0):
    if matrix:
        try:
            return [row[index] for row in matrix]
        except IndexError:
            raise ValueError(""Index out of range"")
    else:
        return []
```"
50,Write a function to find the list with minimum length using lambda function.,"def min_length_list(input_list):
    min_length = min(len(x) for x in input_list )  
    min_list = min(input_list, key = lambda i: len(i))
    return(min_length, min_list)","```python
find_min_length_list = lambda lists: min(lists, key=len)
```

You can use this function by passing a list of lists as an argument:

```python
lists_of_lists = [[1, 2, 3], [4], [5, 6]]
min_length_list = find_min_length_list(lists_of_lists)
```"
51,Write a function to print check if the triangle is equilateral or not.,"def check_equilateral(x,y,z):
  if x == y == z:
	   return True
  else:
     return False","```python
def check_equilateral(a, b, c):
    if a == b == c:
        return True
    else:
        return False
```

or 

```python
def check_equilateral(a, b, c):
    return a == b == c
```"
52,Write a function to caluclate area of a parallelogram.,"def parallelogram_area(b,h):
  area=b*h
  return area","```python
def calculate_parallelogram_area(base, height):
    return base * height
```"
53,Write a python function to check whether the first and last characters of a given string are equal or not.,"def check_Equality(str):
  if (str[0] == str[-1]):  
    return (""Equal"") 
  else:  
    return (""Not Equal"") ","```python
def check_first_last_characters(s):
    if len(s) > 0:
        return s[0] == s[-1]
    else:
        return False
```"
54,Write a function to sort the given array by using counting sort.,"def counting_sort(my_list):
    max_value = 0
    for i in range(len(my_list)):
        if my_list[i] > max_value:
            max_value = my_list[i]
    buckets = [0] * (max_value + 1)
    for i in my_list:
        buckets[i] += 1
    i = 0
    for j in range(max_value + 1):
         for a in range(buckets[j]):
             my_list[i] = j
             i += 1
    return my_list","```python
def counting_sort(array):
    size = len(array)
    output = [0] * size
    count = [0] * 10

    for i in range(0, size):
        index = array[i]
        count[index] += 1

    for i in range(1, 10):
        count[i] += count[i - 1]

    i = size - 1
    while i >= 0:
        index = array[i]
        output[count[index] - 1] = array[i]
        count[index] -= 1
        i -= 1

    for i in range(0, size):
        array[i] = output[i]

    return array
```"
55,Write a function to find t-nth term of geometric series.,"import math
def tn_gp(a,n,r):
  tn = a * (math.pow(r, n - 1))
  return tn","```python
def nth_term_geometric_series(a, r, n):
    if abs(r) >= 1:
        raise ValueError(""Common ratio 'r' must be between -1 and 1"")
    return a * (r ** (n - 1))
```"
56,Write a python function to check if a given number is one less than twice its reverse.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ","```python
def is_one_less_than_twice_reverse(n):
    reversed_n = int(str(abs(n))[::-1])
    if n < 0:
        return -n == 2 * reversed_n - 1
    else:
        return n == 2 * reversed_n - 1
```"
57,Write a python function to find the largest number that can be formed with the given digits.,"def find_Max_Num(arr,n) : 
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ","```python
def largest_number(digits):
    digits = list(map(str, digits))
    digits.sort(key=lambda x: x*3, reverse=True)
    result = ''.join(digits).lstrip('0')
    return int(result) if result else 0
```"
58,Write a python function to check whether the given two integers have opposite sign or not.,"def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ","```python
def check_opposite_sign(a: int, b: int) -> bool:
    """"""
    Checks whether two integers have opposite signs.
    
    Args:
        a (int): The first integer.
        b (int): The second integer.
    
    Returns:
        bool: True if the integers have opposite signs, False otherwise.
    """"""
    return (a >= 0 and b < 0) or (a < 0 and b >= 0)
```"
59,Write a function to find the nth octagonal number.,"def is_octagonal(n): 
	return 3 * n * n - 2 * n ","```python
def nth_octagonal_number(n):
    return n * (3 * n - 2)
```"
60,Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.,"def max_len_sub( arr, n): 
	mls=[] 
	max = 0
	for i in range(n): 
		mls.append(1) 
	for i in range(n): 
		for j in range(i): 
			if (abs(arr[i] - arr[j]) <= 1 and mls[i] < mls[j] + 1): 
				mls[i] = mls[j] + 1
	for i in range(n): 
		if (max < mls[i]): 
			max = mls[i] 
	return max","```python
def max_len_diff(arr):
    n = len(arr)
    if n < 2:
        return n

    dp = [1] * n
    for i in range(1, n):
        for j in range(i):
            if abs(arr[i] - arr[j]) == 1:
                dp[i] = max(dp[i], dp[j] + 1)

    return max(dp)
```"
61,Write a python function to count number of substrings with the sum of digits equal to their length.,"from collections import defaultdict
def count_Substrings(s,n):
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count","```python
def count_substrings(s):
    def digit_sum(n):
        return sum(int(digit) for digit in str(n))

    count = 0
    n = len(s)
    for i in range(n):
        for j in range(i + 1, n + 1):
            substring_length = j - i
            if digit_sum(substring_length) == substring_length:
                count += 1
    return count
```"
62,Write a python function to find smallest number in a list.,"def smallest_num(xs):
  return min(xs)
","```python
def find_smallest_number(num_list):
    if len(num_list) == 0:
        raise ValueError(""List cannot be empty"")
    return min(num_list)
```"
63,Write a function to find the maximum difference between available pairs in the given tuple list.,"def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res) ","```python
def max_difference(tuple_list):
    differences = []
    for i in range(len(tuple_list)):
        for j in range(i + 1, len(tuple_list)):
            difference = abs(max(tuple_list[i]) - min(tuple_list[j]))
            differences.append(difference)
            difference = abs(min(tuple_list[i]) - max(tuple_list[j]))
            differences.append(difference)
    return max(differences)
```"
64,Write a function to sort a list of tuples using lambda.,"def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks","```python
def sort_tuple_list(tuple_list):
    return sorted(tuple_list, key=lambda x: (x[0], x[1]))
```"
65,Write a function of recursion list sum.,"def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total","```python
def recursive_list_sum(lst):
    if len(lst) == 1:
        return lst[0]
    else:
        return lst[0] + recursive_list_sum(lst[1:])
```"
66,Write a python function to count positive numbers in a list.,"def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count ","```python
def count_positive_numbers(num_list):
    return sum(1 for num in num_list if isinstance(num, (int, float)) and num > 0)
```

Let me know if you'd like me to adjust the formatting or add anything else!"
67,Write a function to find the number of ways to partition a set of bell numbers.,"def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] ","```python
def count_partitions(n):
    bell = [[0 for _ in range(n + 1)] for _ in range(n + 1)]
    bell[0][0] = 1

    for i in range(1, n + 1):
        bell[i][0] = bell[i - 1][i - 1]
        for j in range(1, i + 1):
            bell[i][j] = bell[i - 1][j - 1] + bell[i][j - 1]

    return sum(bell[n])
```"
